# Transcript
Audio: data/audio/sample.mp3
  14:31-14:32:  Multinear
  14:32-14:32:  just
  14:32-14:32:  because
  14:32-14:33:  no
  14:33-14:34:  other
  14:34-14:34:  platform
  14:34-14:35:  helped
  14:35-14:35:  me
  14:35-14:35:  to
  14:35-14:35:  do
  14:35-14:35:  it
  14:35-14:36:  this
  14:36-14:36:  way,
  14:36-14:37:  to
  14:37-14:37:  help
  14:37-14:37:  me
  14:37-14:37:  with
  14:37-14:37:  the
  14:37-14:38:  process
  14:38-14:38:  of
  14:38-14:38:  evaluation
  14:38-14:39:  like
  14:39-14:39:  end
  14:39-14:39:  to
  14:39-14:39:  end.

[14:41 -> 14:48] I'm working on a startup that does reliable AI automation right now, and yeah, thank you very much.
  14:41-14:41:  I'm
  14:41-14:42:  working
  14:42-14:42:  on
  14:42-14:42:  a
  14:42-14:42:  startup
  14:42-14:43:  that
  14:43-14:43:  does
  14:43-14:43:  reliable
  14:43-14:44:  AI
  14:44-14:44:  automation
  14:44-14:44:  right
  14:44-14:45:  now,
  14:45-14:46:  and
  14:46-14:47:  yeah,
  14:47-14:48:  thank
  14:48-14:48:  you
  14:48-14:48:  very
  14:48-14:48:  much.

